riboflavin (mg),niacin,vitamin B6 (mg),folic acid (milg),food folate (milg),folate (DFE) (milg),Choline (mg),vitamin B12 (milg),age,year,race,vitamin C (mg),vitamin D (milg),vitamin E (mg),added vitamin E (mg),vitamin K,calcium (mg),phosphorus (mg),magnesium (mg),food energy(kcal),protein(g),carbohydrate(g),total sugars(g),dietary fiber(g),total fat(g),saturated fat(g),monosaturated fat(g),polysaturated fat(g),Cholesterol(mg),retinol (milg),vitaminA (milg),alphacarotene (milg),betacarotene (milg),beta-cryptoxanthin (milg),lycopene (milg),lutein+zeaxanthin (milg),thiamin(mg),iron (mg),zinc (mg),copper (mg),selenium (milg),potassium (mg),sodium (mg),caffeine (mg),theobromine (mg)
1.74,25.3,1.97,164,201,479,324,4.72,20 and over,2011-2012,Non-Hispanic Black,93.2,4.0,8.8,0.5,131.7,858,1292,281,2187,81.1,266,123,15.2,83.3,25.6,30.0,20.9,305,359,548,260,2101,74,5086,1947,1.48,14.0,10.5,1.3,115.3,2462,3536,78.4,32.0
1.74,24.4,1.90,173,183,477,299,4.74,2 and over,2011-2012,Non-Hispanic Black,91.7,4.3,8.2,0.5,113.3,866,1252,263,2113,76.5,263,123,14.5,80.4,25.1,28.8,19.9,280,373,533,233,1769,69,4929,1624,1.48,13.9,10.2,1.1,108.4,2352,3387,60.0,34.5
1.71,15.0,1.36,175,155,453,227,4.27,2 -5,2011-2012,Non-Hispanic Asian,72.0,7.0,5.8,1.0,63.4,946,1079,211,1486,56.6,199,89,12.5,52.9,19.8,17.6,10.9,184,411,513,210,1058,118,3618,828,1.30,10.9,8.3,0.9,82.2,2013,2275,8.8,41.1
1.88,18.8,1.60,186,175,491,240,4.21,6 - 11,2011-2012,Non-Hispanic Asian,91.3,6.3,5.9,0.2,105.6,1031,1178,243,1744,63.1,248,112,14.6,57.9,21.4,18.9,12.4,195,429,601,318,1839,128,6002,1859,1.48,12.4,9.1,1.0,93.8,2166,2709,11.9,74.0
1.94,23.3,1.88,249,203,627,288,5.09,12 - 19,2011-2012,Non-Hispanic Asian,83.7,5.5,7.0,0.4,110.5,1050,1334,268,1967,79.2,257,105,15.2,70.5,24.1,23.7,16.6,242,452,649,375,2101,142,3825,1490,1.77,14.8,10.7,1.2,112.7,2393,3540,38.2,44.8
1.81,24.7,2.12,184,245,559,328,4.75,20 and over,2011-2012,Non-Hispanic Asian,94.5,4.8,8.6,0.4,163.6,776,1270,324,1947,82.4,248,88,19.2,66.8,19.4,24.6,17.1,257,282,610,640,3532,160,3505,2431,1.55,14.5,10.4,1.4,122.1,2673,3827,107.9,25.0
1.82,23.6,2.02,191,231,556,312,4.72,2 and over,2011-2012,Non-Hispanic Asian,91.9,5.1,8.1,0.4,148.6,832,1260,306,1910,79.3,246,92,18.1,65.8,20.1,23.8,16.4,247,318,608,566,3129,154,3731,2208,1.55,14.2,10.2,1.4,116.9,2572,3633,88.4,31.5
1.90,16.1,1.52,175,146,444,234,4.75,2 -5,2011-2012,All Hispanic,86.5,7.2,4.9,0.3,42.9,1059,1150,208,1564,57.5,214,108,12.5,55.4,20.4,18.6,11.7,198,491,608,336,1191,81,3643,557,1.30,12.0,8.6,0.8,75.8,2122,2283,6.4,41.6
2.06,22.1,1.82,252,181,610,267,5.20,6 - 11,2011-2012,All Hispanic,91.5,6.2,6.5,0.3,57.0,1138,1357,250,2005,72.8,272,126,16.6,72.1,25.1,25.0,16.1,233,534,655,283,1274,85,5208,676,1.71,16.3,10.8,1.0,100.0,2405,3133,16.1,53.6
2.07,25.0,2.02,244,199,614,311,5.57,12 - 19,2011-2012,All Hispanic,95.8,6.3,8.3,0.6,69.4,1165,1477,273,2205,82.4,286,128,16.8,82.7,28.0,28.5,19.5,291,525,645,321,1243,89,5061,819,1.77,17.1,11.1,1.2,113.5,2530,3557,34.1,58.8
