income,age,oil,solid fats,added sugars,alcoholic drinks,year,eggs,nuts and seeds,soybean products,total protein foods,"Total Meat, Poultry, and Seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,total dairy,fluid milk,cheese,yoghurt,total grains,whole grains,refined grains,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total fruit,"citrus, melons, berries",other fruit,fruit juice
"$25,000 - $74,999",12 - 19,21.86,34.03,21.49,0.14*,2011_12,0.36,0.41*,0.06,1.04,0.36,0.32,0.04,0.31,0.26,0.05,0.10*,1.97,0.99,0.92,0.05*,7.22,0.62,6.60,1.04,0.36,0.32,0.04,0.31,0.26,0.05,0.10*,0.27,0.99,0.13*,0.40,0.46
"$25,000 - $74,999",20 and over,26.07,36.53,17.82,0.75,2011_12,0.52,0.80,0.06,1.63,0.45,0.36,0.10,0.40,0.29,0.11,0.16,1.58,0.75,0.75,0.05,6.67,0.94,5.73,1.63,0.45,0.36,0.10,0.40,0.29,0.11,0.16,0.62,0.91,0.17,0.49,0.26
"$25,000 - $74,999",2 and over,24.37,35.96,18.08,0.58,2011_12,0.47,0.69,0.06,1.45,0.42,0.33,0.08,0.37,0.28,0.09,0.13,1.71,0.87,0.77,0.05,6.64,0.88,5.76,1.45,0.42,0.33,0.08,0.37,0.28,0.09,0.13,0.53,0.97,0.16,0.48,0.32
"$75,000 and higher",2 -5,15.11,28.41,12.03,0.00,2011_12,0.30,0.49,0.07*,0.70,0.18,0.15*,0.03*,0.27,0.16,0.12,0.07*,2.39,1.63,0.55,0.20,5.16,0.82,4.34,0.70,0.18,0.15*,0.03*,0.27,0.16,0.12,0.07*,0.17,1.48,0.36,0.64,0.48
"$75,000 and higher",2 -5,15.11,28.41,12.03,0.00,2011_12,0.30,0.49,0.07*,0.70,0.18,0.15*,0.03*,0.27,0.16,0.12,0.07*,2.39,1.63,0.55,0.20,5.16,0.82,4.34,0.70,0.18,0.15*,0.03*,0.27,0.16,0.12,0.07*,0.17,1.41,0.21,0.56,0.64
"$75,000 and higher",6 - 11,19.83,41.88,19.34,0.00,2011_12,0.38,0.67,0.10*,0.82,0.29,0.24,0.04,0.24,0.18,0.07*,0.09,2.27,1.30,0.86,0.08,7.67,0.86,6.81,0.82,0.29,0.24,0.04,0.24,0.18,0.07*,0.09,0.19,1.47,0.33,0.71,0.43
"$75,000 and higher",6 - 11,19.83,41.88,19.34,0.00,2011_12,0.38,0.67,0.10*,0.82,0.29,0.24,0.04,0.24,0.18,0.07*,0.09,2.27,1.30,0.86,0.08,7.67,0.86,6.81,0.82,0.29,0.24,0.04,0.24,0.18,0.07*,0.09,0.19,1.23,0.23,0.59,0.41
"$75,000 and higher",12 - 19,23.70,41.48,20.16,0.02*,2011_12,0.35,0.62,0.04*,1.21,0.48,0.38,0.10,0.35,0.30,0.05,0.04,2.71,1.63,1.02,0.03,7.10,0.95,6.15,1.21,0.48,0.38,0.10,0.35,0.30,0.05,0.04,0.34,1.03,0.22,0.50,0.31
"$75,000 and higher",12 - 19,23.70,41.48,20.16,0.02*,2011_12,0.35,0.62,0.04*,1.21,0.48,0.38,0.10,0.35,0.30,0.05,0.04,2.71,1.63,1.02,0.03,7.10,0.95,6.15,1.21,0.48,0.38,0.10,0.35,0.30,0.05,0.04,0.34,0.93,0.15,0.41,0.38
"$75,000 and higher",20 and over,29.57,36.42,17.18,1.13,2011_12,0.53,1.10,0.10,1.87,0.41,0.33,0.08,0.49,0.36,0.13,0.23,1.75,0.78,0.84,0.10,6.97,1.16,5.80,1.87,0.41,0.33,0.08,0.49,0.36,0.13,0.23,0.75,1.09,0.25,0.55,0.29
"$75,000 and higher",20 and over,29.57,36.42,17.18,1.13,2011_12,0.53,1.10,0.10,1.87,0.41,0.33,0.08,0.49,0.36,0.13,0.23,1.75,0.78,0.84,0.10,6.97,1.16,5.80,1.87,0.41,0.33,0.08,0.49,0.36,0.13,0.23,0.75,0.99,0.19,0.49,0.31
"$75,000 and higher",2 and over,27.21,37.05,17.43,0.84,2011_12,0.49,0.97,0.09,1.63,0.39,0.32,0.07,0.44,0.33,0.11,0.19,1.95,0.97,0.84,0.10,6.94,1.09,5.85,1.63,0.39,0.32,0.07,0.44,0.33,0.11,0.19,0.62,1.14,0.26,0.57,0.32
